business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
85936,Laurel Court,950 Mason St,San Francisco,CA,94108,,,,14155775000,85936_20170925,09/25/2017 12:00:00 AM,100,Routine - Unscheduled,,,,,,,,
5827,HILLCREST ELEMENTARY SCHOOL,810 SILVER Ave,San Francisco,CA,94134,37.729016,-122.419253,POINT (-122.419253 37.729016),14155464722,5827_20170224,02/24/2017 12:00:00 AM,,Reinspection/Followup,,,,92,92,2,2,7
94910,Ike's Kitchen,800 Van Ness Ave,San Francisco,CA,94109,,,,,94910_20180530,05/30/2018 12:00:00 AM,,New Ownership - Followup,,,,,,,,
64667,Jasmine Rae Bakery,1890 Bryant St #309,San Francisco,CA,94110,37.763156,-122.410351,POINT (-122.410351 37.763156),,64667_20170814,08/14/2017 12:00:00 AM,,Reinspection/Followup,,,,53,53,3,2,20
97722,THE CHURRO FACTORY,PIER 39  K-01,San Francisco,CA,94133,,,,,97722_20181217,12/17/2018 12:00:00 AM,96,Routine - Unscheduled,97722_20181217_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,
87203,The Morris,2501 Mariposa St,San Francisco,CA,94110,,,,14150710693,87203_20171106,11-06-2017 00:00,,Reinspection/Followup,,,,,,,,
1710,Emporio Rulli Il Caffe at Union Square,225 Stockton St,San Francisco,CA,94108,37.787936,-122.406712,POINT (-122.406712 37.787936),,1710_20180423,04/23/2018 12:00:00 AM,,Reinspection/Followup,,,,19,19,6,3,8
92928,Cafe Reveille,201 Steiner St,San Francisco,CA,94117,,,,,92928_20180118,01/18/2018 12:00:00 AM,,New Construction,,,,,,,,
90840,Steep Creamery & Tea,"270 Brannan St., Suite 100",San Francisco,CA,94107,,,,,90840_20171017,10/17/2017 12:00:00 AM,,Reinspection/Followup,,,,,,,,
272,ON THE BRIDGE,1581 Webster St #206,San Francisco,CA,94115,37.785227,-122.431472,POINT (-122.431472 37.785227),14155927765,272_20180611,06-11-2018 00:00,,Reinspection/Followup,,,,101,101,4,11,15
92530,Taqueria Zorro,308 Columbus Ave,San Francisco,CA,94133,,,,14155399677,92530_20190823,08/23/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
100879,LORENZO'S OF NEW YORK PIZZA,2109 POLK ST,San Francisco,CA,94109,,,,14150980339,100879_20190611,06-11-2019 00:00,,New Ownership,,,,,,,,
95023,Sakesan,1400 Ocean Ave,San Francisco,CA,94112,,,,,95023_20180510,05-10-2018 00:00,92,Routine - Unscheduled,95023_20180510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,,,,,
93362,Cafe Valencia,1252 Valencia St.,San Francisco,CA,94110,,,,,93362_20190426,04/26/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
3072,"HOTEL UTAH SALOON, THE",500 04th St,San Francisco,CA,94107,37.779522,-122.398104,POINT (-122.398104 37.779522),,3072_20180309,03-09-2018 00:00,,Reinspection/Followup,,,,32,32,1,10,34
94977,94977 Portables 2 Carvery/BBQ,24 Willie Mays Pl Promenade Lvl Sect 112,San Francisco,CA,94107,,,,,94977_20180911,09-11-2018 00:00,96,Routine - Unscheduled,94977_20180911_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,
101175,THE UP & UP,1268 GRANT AVE,San Francisco,CA,94133,,,,14155379736,101175_20190703,07-03-2019 00:00,,New Ownership - Followup,,,,,,,,
3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,POINT (-122.422442 37.764908),14155434089,3838_20180320,03/20/2018 12:00:00 AM,,Reinspection/Followup,,,,37,37,3,5,20
61056,Town School For Boys,2750 JACKSON St,San Francisco,CA,94115,37.791777,-122.440355,POINT (-122.440355 37.791777),,61056_20161026,10/26/2016 12:00:00 AM,,Complaint,,,,102,102,4,6,30
94943,94943 Hearth Table,24 Willie Mays Pl Lower Cent Fd Rm 1144,San Francisco,CA,94107,,,,,94943_20190412,04-12-2019 00:00,100,Routine - Unscheduled,,,,,,,,
85955,India Clay Oven Restaurant and Bar,2436 Clement St,San Francisco,CA,94121,,,,14155750505,85955_20180806,08-06-2018 00:00,,Reinspection/Followup,,,,,,,,
70452,Kennedy Market & Deli,4600 03rd St,San Francisco,CA,94124,37.736301,-122.390293,POINT (-122.390293 37.736301),14155285560,70452_20170119,01/19/2017 12:00:00 AM,,Reinspection/Followup,,,,86,86,2,9,1
60473,Dong Baek Korean Restaurant,631 O'Farrell St,San Francisco,CA,94109,37.785503,-122.415157,POINT (-122.415157 37.785503),,60473_20190924,09/24/2019 12:00:00 AM,,Reinspection/Followup,,,,20,20,5,10,36
96578,GOOOD FORTUNE LLC.,700 GRANT AVE,San Francisco,CA,94108,,,,14155307071,96578_20180817,08/17/2018 12:00:00 AM,78,Routine - Unscheduled,96578_20180817_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,
67371,Roxie Market & Deli,500 KIRKHAM St,San Francisco,CA,94122,37.760318,-122.466321,POINT (-122.466321 37.760318),,67371_20190723,07/23/2019 12:00:00 AM,,Reinspection/Followup,,,,109,109,10,8,14
76513,Archive Bar & Kitchen,602 Mission St,San Francisco,CA,94105,,,,,76513_20190110,01-10-2019 00:00,,Reinspection/Followup,,,,,,,,
87889,K-Elements BBQ,2140 Clement St.,San Francisco,CA,94121,,,,14155781629,87889_20161031,10/31/2016 12:00:00 AM,,New Ownership,,,,,,,,
39824,RN74,301 Mission St,San Francisco,CA,94105,37.790958,-122.396042,POINT (-122.396042 37.790958),,39824_20171108,11-08-2017 00:00,90,Routine - Unscheduled,,,,32,32,1,10,8
89133,The Epicurian Trader,1909 A Union St,San Francisco,CA,94123,,,,,89133_20170307,03-07-2017 00:00,,New Ownership,,,,,,,,
68352,Vogue Theatre,3290 Sacramento St,San Francisco,CA,94115,37.788248,-122.446674,POINT (-122.446674 37.788248),,68352_20161228,12/28/2016 12:00:00 AM,,Reinspection/Followup,,,,10,10,8,6,31
71380,Curry Up Now,659 Valencia St,San Francisco,CA,94110,37.762265,-122.421586,POINT (-122.421586 37.762265),14155827000,71380_20190110,01-10-2019 00:00,,Complaint,,,,53,53,3,2,20
95114,Pearl,6101 California St,San Francisco,CA,94121,,,,,95114_20180521,05/21/2018 12:00:00 AM,,New Ownership,,,,,,,,
89710,Manila Bowl,1355 Market St Unit #10,San Francisco,CA,94103,,,,,89710_20170111,01-11-2017 00:00,,New Construction,,,,,,,,
94928,"Purple Kow, KAMS",3620 Balboa St,San Francisco,CA,94121,,,,,94928_20190822,08/22/2019 12:00:00 AM,90,Routine - Unscheduled,94928_20190822_103150,Improper or defective plumbing,Low Risk,,,,,
81302,Fumi Curry,3303 Mission St,San Francisco,CA,94110,,,,14155601611,81302_20190430,04/30/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
88760,Coin-Op Game Room,508 04th St,San Francisco,CA,94107,,,,,88760_20190418,04/18/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
69527,Dinosaurs,2522 Ocean Ave.,San Francisco,CA,94132,,,,14155676430,69527_20170307,03-07-2017 00:00,,Complaint,,,,,,,,
84590,Chaat Corner,320 3rd St,San Francisco,CA,94107,,,,,84590_20181015,10/15/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,
85601,Fogo de Chao,201 03rd St Suite 100,San Francisco,CA,94103,,,,14157254523,85601_20190426,04/26/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
101678,RICE PAPER SCISSORS,2723 OAKDALE AVE,San Francisco,CA,94124,,,,14158203389,101678_20190823,08/23/2019 12:00:00 AM,,New Ownership,,,,,,,,
2326,IRMA'S PAMPANGA RESTAURANT,2901 16th St,San Francisco,CA,94103,37.765123,-122.417919,POINT (-122.417919 37.765123),14155626688,2326_20180507,05-07-2018 00:00,,Reinspection/Followup,,,,53,53,3,2,20
59651,McGarden Bakery,5131 Mission St,San Francisco,CA,94112,37.716691,-122.440719,POINT (-122.440719 37.716691),,59651_20190131,01/31/2019 12:00:00 AM,,Reinspection/Followup,,,,90,90,9,1,7
101869,PROJECT JUICE - VALENCIA,790 VALENCIA ST,San Francisco,CA,94110,,,,14155853869,101869_20190813,08/13/2019 12:00:00 AM,,New Ownership,,,,,,,,
94269,Chanvi,1063 Market St,San Francisco,CA,94103,,,,,94269_20190916,09/16/2019 12:00:00 AM,,Complaint,,,,,,,,
28206,Westfield Food Court Scullery,845 Market St Scullery (LL),San Francisco,CA,94103,37.784679,-122.407061,POINT (-122.407061 37.784679),14155516776,28206_20170215,02/15/2017 12:00:00 AM,,Reinspection/Followup,,,,32,32,5,10,34
73889,Khan Toke Thai House,5937 Geary Blvd,San Francisco,CA,94121,,,,14155666654,73889_20190826,08/26/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
5854,Gateway High/Kip Schools,1430 Scott St,San Francisco,CA,94115,37.783427,-122.437747,POINT (-122.437747 37.783427),14155743600,5854_20170120,01/20/2017 12:00:00 AM,,Reinspection/Followup,,,,97,97,4,11,39
10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.419014,POINT (-122.419014 37.766864),14155246280,10030_20181016,10/16/2018 12:00:00 AM,100,Routine - Unscheduled,,,,53,53,3,2,20
95401,Blue Fog Market,2567 Gough St,San Francisco,CA,94123,,,,,95401_20180607,06-07-2018 00:00,89,Routine - Unscheduled,95401_20180607_103103,High risk food holding temperature,High Risk,,,,,
